年份,科目,专业,最低分数,最低位次
2022,物理,计算机科学与技术（国家基础学科拔尖学生培养计划基地班）,642,1986
2022,物理,电子信息类（创新班）（电气工程及其自动化、自动化、电子信息工程、计算机科学与技术、生物医学工程、人工智能）,640,2217
2022,物理,工程力学（钱令希力学创新班、拔尖计划班）,636,2677
2022,物理,机械设计制造及其自动化（创新班）,634,2918
2022,物理,电子信息类（电信、自动化与计算机新工科实验班）（电气工程及其自动化、自动化、电子信息工程、电子信息工程（英语强化）、计算机科学与技术、生物医学工程、人工智能）,630,3452
2022,物理,工程力学,627,3926
2022,物理,电子科学与技术,626,4070
2022,物理,机械类（机械设计制造及其自动化、智能制造工程）,626,4070
2022,物理,数学类（数学类及华罗庚数学基础科学拔尖计划班）（数学与应用数学、信息与计算科学、数学与应用数学（华罗庚数学基础科学拔尖计划班）、信息与计算科学（华罗庚数学基础科学拔尖计划班））,626,4070
2022,物理,应用物理学（王大珩物理基础科学拔尖计划班）,625,4236
2022,物理,光电信息科学与工程,625,4236
2022,物理,应用化学（理学、张大煜化学基础科学拔尖计划班）,625,4236
2022,物理,软件工程,623,4550
2022,物理,车辆工程（英语强化）,623,4550
2022,物理,化工与制药类（创新班）（化学工程与工艺、精细化工、制药工程、高分子材料与工程、安全工程）,622,4721
2022,物理,机械设计制造及其自动化（日语强化）,621,4903
2022,物理,土木类（智慧基础设施与土木类创新班）（智能建造、土木工程、水利水电工程、港口航道与海岸工程）,619,5279
2022,物理,能源与动力工程,619,5279
2022,物理,生物工程,618,5487
2022,物理,过程装备与控制工程,616,5859
2022,物理,船舶与海洋工程,615,6032
2022,物理,工商管理类（经济管理实验班）（大数据管理与应用、金融学、信息管理与信息系统、工商管理、物流管理、国际经济与贸易、知识产权）,615,6032
2022,物理,化工与制药类（智能化工、新材料与安全新工科实验班）（化学工程与工艺、化学工程与工艺（国际班）、精细化工、制药工程、高分子材料与工程、安全工程）,611,6855
2022,物理,环境科学与工程类（环境工程、环境科学）,611,6855
2022,物理,建筑类（建筑学、城乡规划、工业设计）,610,7084
2022,物理,材料类（金属材料工程（中日精英班）、金属材料工程、功能材料、材料成型及控制工程）,609,7304
2022,物理,土木类（土木类新工科实验班）（土木工程、土木工程（国际班）、水利水电工程、港口航道与海岸工程、海洋资源开发技术、交通工程、工程管理、建筑环境与能源应用工程）,608,7551
2022,物理,少数民族预科班,607,7784
2022,物理,机械设计制造及其自动化（中外合作办学）（中外合作办学）,603,8737
2022,物理,计算机类（中外合作办学）（软件工程（中外合作办学）、数字媒体技术（中外合作办学））（中外合作办学）,600,9412
2022,物理,工程力学（中外合作办学）（中外合作办学）,598,9934
2022,物理,应用物理学（中外合作办学）（中外合作办学）,595,10740
2022,历史,新闻传播学类（人文社科实验班）（广播电视学、汉语言文学）,598,1299
2022,历史,哲学类（哲学）,596,1413
2022,历史,英语,596,1413
2022,历史,公共事业管理,593,1604
2022,历史,日语,592,1669
年份,科目,专业,最低分数,最低位次
2021,历史,英语,615,1333
2021,历史,新闻传播学类（人文社科实验班）（公共事业管理、汉语言文学、广播电视学、哲学）,612,1507
2021,历史,日语,608,1780
2021,历史,俄语,604,2088
2021,物理,电子信息类（创新班）（电气工程及其自动化、自动化、电子信息工程、计算机科学与技术、生物医学工程、人工智能）,649,2301
2021,物理,工程力学（钱令希力学创新班）,647,2507
2021,物理,机械设计制造及其自动化（创新班）,644,2858
2021,物理,电子信息类（电信、自动化与计算机工科实验班）（电气工程及其自动化、自动化、电子信息工程、电子信息工程（英语强化）、计算机科学与技术、生物医学工程、人工智能）,639,3478
2021,物理,数学类（数学与应用数学、信息与计算科学、数学与应用数学（国家拔尖学生培养基地华罗庚数学班）、信息与计算科学（国家拔尖学生培养基地华罗庚数学班））,636,3874
2021,物理,应用物理学（王大珩物理基础科学班）,635,4009
2021,物理,工程力学,635,4009
2021,物理,应用化学（理学、国家拔尖学生培养基地张大煜化学班）,635,4009
2021,物理,机械类（机械设计制造及其自动化、智能制造工程）,634,4142
2021,物理,光电信息科学与工程,634,4142
2021,物理,电子科学与技术,633,4282
2021,物理,化工与制药类（创新班）（化学工程与工艺、制药工程、高分子材料与工程）,633,4282
2021,物理,软件工程,631,4573
2021,物理,车辆工程（英语强化）,631,4573
2021,物理,能源与动力工程,629,4885
2021,物理,机械设计制造及其自动化（日语强化）,629,4885
2021,物理,工商管理类（经济管理实验班）（工商管理、物流管理、信息管理与信息系统、金融学、国际经济与贸易、知识产权、大数据管理与应用）,627,5210
2021,物理,少数民族预科班,624,5708
2021,物理,建筑类（建筑学、城乡规划、工业设计）,624,5708
2021,物理,生物工程,624,5708
2021,物理,过程装备与控制工程,622,6049
2021,物理,船舶与海洋工程,621,6240
2021,物理,环境科学与工程类（环境工程、环境科学）,620,6438
2021,物理,材料类（金属材料工程、功能材料、材料成型及控制工程、金属材料工程（中日精英班））,619,6638
2021,物理,土木类（土木工程、土木工程（国际班）、水利水电工程、港口航道与海岸工程、工程管理、建筑环境与能源应用工程、交通工程、海洋资源开发技术）,616,7186
2021,物理,化工与制药类（化工、制药与新材料工科实验班）（化学工程与工艺、化学工程与工艺（国际班）、制药工程、高分子材料与工程）,616,7186
2021,物理,计算机类（中外合作办学）（软件工程（中外合作办学）、数字媒体技术（中外合作办学））（中外合作办学）,602,10135
2021,物理,机械设计制造及其自动化（中外合作办学）（中外合作办学）,600,10607
2021,物理,工程力学（中外合作办学）（中外合作办学）,597,11304
