期号,开奖日期,开奖号码(红1),开奖号码(红2),开奖号码(红3),开奖号码(红4),开奖号码(红5),开奖号码(红6),开奖号码(蓝),总销售额,奖池
2023073,2023-06-27（二）,01,03,15,16,25,32,10,360075550,2285628386
2023072,2023-06-25（日）,02,06,10,24,25,33,09,390203400,2257958066
2023071,2023-06-22（四）,05,12,15,19,24,26,06,335357710,2261306658
2023070,2023-06-20（二）,03,05,25,31,32,33,04,358436376,2298227329
2023069,2023-06-18（日）,12,14,17,20,21,26,02,396617204,2216379497
2023068,2023-06-15（四）,11,12,15,18,29,33,02,370869162,2178451698
2023067,2023-06-13（二）,01,03,12,19,28,32,14,364444632,2103312244
2023066,2023-06-11（日）,02,07,08,10,26,31,06,393592226,2060647554
2023065,2023-06-08（四）,02,14,17,20,26,33,14,364732942,2102299471
2023064,2023-06-06（二）,01,07,11,12,16,18,04,358055754,2081628784
2023063,2023-06-04（日）,04,08,17,20,22,27,13,390718820,2130039756
2023062,2023-06-01（四）,11,19,23,24,26,33,15,359921314,2083569496
2023061,2023-05-30（二）,01,04,06,11,12,22,15,365432766,2002747701
2023060,2023-05-28（日）,09,11,17,19,30,31,11,402713176,1949837133
2023059,2023-05-25（四）,02,06,13,22,27,32,06,374631364,1922748082
2023058,2023-05-23（二）,10,17,22,26,30,33,11,372662796,2029768036
2023057,2023-05-21（日）,02,05,10,17,24,32,03,396913794,2012616989
2023056,2023-05-18（四）,08,14,15,18,23,33,08,372532958,2067478767
2023055,2023-05-16（二）,03,04,20,23,27,32,13,370786668,2076855754
2023054,2023-05-14（日）,05,06,09,10,15,26,12,394464450,2012386157
2023053,2023-05-11（四）,01,07,14,20,27,30,15,364282626,2004355202
2023052,2023-05-09（二）,03,04,05,08,12,17,06,358038114,1998828962
2023051,2023-05-07（日）,22,26,29,30,32,33,14,388332454,2041647521
2023050,2023-05-04（四）,02,07,09,14,22,23,05,359185180,1975368056
2023049,2023-05-02（二）,05,07,14,23,25,27,02,328857030,1961601481
2023048,2023-04-30（日）,02,03,10,24,28,30,08,362109840,1949270613
2023047,2023-04-27（四）,05,07,14,23,31,33,07,373486114,1990369107
2023046,2023-04-25（二）,06,08,17,25,26,28,03,364967218,2028047147
2023045,2023-04-23（日）,03,06,12,21,27,28,04,398638950,2001600001
2023044,2023-04-20（四）,02,08,15,22,24,26,16,375494004,2012948026
